codigo_interno;descricao_do_produto
000451;CILINDRO RODA (LADO DIREITO)
000452;LONA FREIO TS
000453;LONA FREIO TS
000454;DISCO FREIO DT VENTILADO
000455;TAMBOR FREIO TS
000456;VELA IGNICAO
000457;COIFA CAIXA
000458;COIFA CAIXA
000459;COIFA CAMBIO CORCEL TDS
000460;TAMBOR FREIO TS
000461;CABO FREIO MAO
000462;COIFA RODA
000463;COIFA RODA CORCEL TDS
000464;DISCO FREIO DT VENTILADO
000465;CABO FREIO MAO
000466;INTERRUPTOR FREIO
000467;DISCO FREIO DT VENTILADO
000468;CABO FREIO MAO VECTRA TS ESQ.93/96 EFRAR
000469;CABO ACELERADOR
000470;CABO ACELERADOR
000471;CABO ACELERADOR
000472;LONA FREIO TS
000473;DISCO FREIO DT VENTILADO
000474;AXIAL DIRECAO
000475;PASTILHA TS
000476;EIXO COMANDO
000477;JUNTA CAIXA
000478;CORREIA CVA
000479;CORREIA CVA
000480;CABO EMBREAGEM
000481;BOMBA OLEO MOTOR
000482;JUNTA TV
000483;JUNTA SAIDA ESCAPAMENTO
000484;HOMOCINETICA RODA
000485;CABO EMBREAGEM
000486;CABO EMBREAGEM
000487;AMORT TAMPA TS
000488;HOMOCINETICA CAIXA
000489;HOMOCINETICA RODA
000490;BOMBA DAGUA
000491;AMORT TAMPA TS
000492;HOMOCINETICA CAIXA
000493;BOMBA DAGUA
000494;JUNTA RETIFICACAO MOTOR
000495;CABO VELOCIMETRO ESCORT 1.8 89/91  FANIA
000496;CABO VELOC.147 TDS EFRARI
000497;CABO VELOCIMETRO
000498;CABO ACELERADOR
000499;JUNTA SAIDA ESCAPAMENTO
000500;CABO VELOC.ESCORT 92/ CHT EFRARI
000501;CABO VELOC.ESCORT 92/ AP CARB.CABOVEL 16
000502;CABO VELOCIMETRO
000503;CABO VELOCIMETRO
000504;CABO VELOCIMETRO
000505;JUNTA SAIDA ESCAPAMENTO
000506;CABO VELOCIMETRO
000507;JUNTA COLETOR ADMISSAO
000508;CABO VELOCIMETRO
000509;JUNTA SAIDA ESCAPAMENTO
000510;JUNTA COLETOR ESCAPAMENTO
000511;JUNTA SAIDA ESCAPAMENTO
000512;CABO VELOC.VECTRA 93/ ASTRA/96 MEC. IKS4
000513;JUNTA COLETOR ESCAPAMENTO
000514;JUNTA COLETOR ESCAPAMENTO
000515;JUNTA COLETOR ESCAPAMENTO
000516;JUNTA TV
000517;MANGUEIRA INJECAO
000518;JUNTA COLETOR ADMISSAO
000519;CABO VELA VARIANT TL(CXT01)MOTOR DEITADO
000520;JUNTA COLETOR ADMISSAO
000521;CHAPA DEFLETORA CAMISA FUSCA BRAS.VAR.TL
000522;JUNTA COLETOR ESCAPAMENTO
000523;JUNTA COLETOR ADMISSAO
000524;AMORT TS
000525;JUNTA TV SUPERIOR (GAIOLA)
000526;JUNTA COLETOR ADMISSAO/ESCAPAMENTO
000527;JUNTA COLETOR ADMISSAO/ESCAPAMENTO
000528;JUNTA COLETOR ADMISSAO
000529;LEQUE LD SUSP DT SUPERIOR
000530;JUNTA CARTER
000531;JUNTA TV
000532;MANGUEIRA 10MM LONADA
000533;PLATO FIAT 1.0/1050/1300/1500 LUK
000534;JUNTA TV
000535;JUNTA TV
000536;JUNTA CARTER
000537;JUNTA CARTER
000538;VALVULA TERMOSTATICA
000539;CANO DAGUA
000540;VALVULA TERMOSTATICA
000541;VALVULA TERMOSTATICA
000542;CANO DAGUA
000543;BUCHA LEQUE DT SUSP DIANT
000544;JUNTA CARTER
000545;BUCHA LEQUE TS SUSP DIANT
000546;TAMPA SELETORA CAMBIO
000547;CORREIA ALT
000548;CORREIA ALT
000549;CORREIA ALT
000550;CHAVETA TRAVA DO VIRABR.VW AR  (A23)
000551;JUNTA BOMBA COMBUSTIVEL CARBURADOR
000552;CORREIA ALT
000553;PINCA FREIO LD
000554;PONTA EIXO TS
000555;CANO DAGUA
000556;KIT BARRA ESTAB DT INT
000557;KIT BARRA ESTAB DT EXT
000558;INTERRUPTOR FREIO
000559;INTERRUPTOR TEMPERATURA INJECAO
000560;INTERRUPTOR TEMPERATURA AGUA
000561;INTERRUPTOR TEMPERATURA INJECAO
000562;CANO DAGUA
000563;INTERRUPTOR TEMPERATURA INJECAO
000564;CANO DAGUA
000565;CANO DAGUA
000566;CANO DAGUA
000567;CANO DAGUA
000568;CEBOLAO RADIADOR DUPLEX
000569;CANO DAGUA
000570;CANO DAGUA
000571;CANO DAGUA
000572;INTERRUPTOR FREIO
000573;CANO DAGUA
000574;INTERRUPTOR RE
000575;CORREIA ALT
000576;DUTO AR 52X47MM GM
000577;PALHETA DT CONVENCIONAL
000578;CABO NEGATIVO P/BATERIA 40 CM
000579;BRACO AUXILIAR DIRECAO
000580;PAPELAO RAD.GOL /87 (J83)
000581;INTERRUPTOR TEMPERATURA AGUA
000582;INTERRUPTOR TEMPERATURA INJECAO
000583;CEBOLAO RADIADOR DUPLEX
000584;INTERRUPTOR TEMPERATURA INJECAO
000585;CANO DAGUA
000586;SUPORTE MOTOR DT C/TUBO
000587;SUPORTE CABO FREIO MAO ESQUERDO
000588;KIT BARRA ESTABILIZADORA DT
000589;BUCHA EIXO SUSP TS
000590;BUCHA BRACO EIXO TS
000591;REPARO TRAMBULADOR
000592;BUCHA AMORT SUSP TS
000593;KIT BARRA ESTABILIZADORA DT
000594;TAMPA COMBUSTIVEL
000595;TAMPA OLEO
000596;TAMPA OLEO
000597;RETENTOR CAIXA
000598;COXIM MOTOR
000599;BUCHA BRACO TENSOR
000600;RETENTOR RODA DT/TS (EXTERNO)
000601;RETENTOR CAIXA (LATERAL)
000602;SUPORTE QUADRO DT ESQUERDO
